epoch,accuracy,loss,val_accuracy,val_loss
0,0.48225000500679016,1.459093689918518,0.5241000056266785,1.3459337949752808
1,0.5903750061988831,1.169111728668213,0.5742999911308289,1.1985983848571777
2,0.6388999819755554,1.0344310998916626,0.6107000112533569,1.1107243299484253
3,0.6725249886512756,0.9354519248008728,0.6376000046730042,1.0435377359390259
4,0.700950026512146,0.855435848236084,0.628000020980835,1.0769932270050049
5,0.7281500101089478,0.7773927450180054,0.6324999928474426,1.0738199949264526
6,0.7519500255584717,0.7095176577568054,0.652999997138977,1.0564723014831543
7,0.777525007724762,0.6368675231933594,0.6445000171661377,1.134631872177124
8,0.8014500141143799,0.5725588798522949,0.6384000182151794,1.1540827751159668
9,0.8214499950408936,0.511802613735199,0.6284999847412109,1.2620728015899658
10,0.8453750014305115,0.4467158615589142,0.6330999732017517,1.2865444421768188
11,0.8635249733924866,0.3937106728553772,0.6313999891281128,1.366786003112793
12,0.8821499943733215,0.3436829447746277,0.6348000168800354,1.4136725664138794
13,0.8973000049591064,0.2997472286224365,0.6294000148773193,1.489633321762085
